person_id,full_name,raw_institution_org,mapped_institution_ids,mapping_status,basis,confidence,provenance,notes
P-0064,Wookwan (Ven.),Mahayeon Temple Food Culture Center; Bongwonsa,I-0016,PARTIAL,"Mahayeon Temple Food Culture Center mapped; ""Bongwonsa"" not in institutions.csv",MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0065,Gakseong (Ven.),Guryongsa; Tongdosa lineage,,UNMAPPED,Institution(s) not present in institutions.csv; keep as free-text node,MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0068,Sŏ Chŏng-ju,Dongguk University (professor),I-0010,MAPPED,Dongguk University (professor),HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0071,Vinoba Bhave,Bhoodan movement; Sarvodaya,,UNMAPPED,Institution(s) not present in institutions.csv; keep as free-text node,MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0072,Yi Yŏng-jae,Beopjusa; Nihon University; Tokyo Imperial University,,UNMAPPED,Institution(s) not present in institutions.csv; keep as free-text node,MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0073,Hwang Su-yŏng,Dongguk University,I-0010,MAPPED,Dongguk University,HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0074,Muhak Chach'o,Hoeamsa,I-0003,MAPPED,Hoeamsa,HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0075,Baegun Gyeonghan,Chwiamsa (Cheongju),,UNMAPPED,Institution(s) not present in institutions.csv; keep as free-text node,MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0076,Sitanshu Yashaschandra,Saurashtra University (professor),,UNMAPPED,Institution(s) not present in institutions.csv; keep as free-text node,MEDIUM,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0077,Ch'ukwŏn Chijŏn,,,NO_INSTITUTION,No institution recorded in frozen data,HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
