person_id,full_name,raw_affiliation,tradition_1,tradition_2,tradition_3,mapping_basis,confidence,provenance,notes
P-0018,Hyeryun,Buddhism,GENERAL_BUDDHISM,,,"Raw: ""Buddhism"" (unspecified)",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0020,Ojin,Buddhism (Esoteric),ESOTERIC,,,"Raw: ""Buddhism (Esoteric)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0021,Wonpyo,Buddhism,GENERAL_BUDDHISM,,,"Raw: ""Buddhism"" (unspecified)",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0022,Hyŏnyu,Buddhism,GENERAL_BUDDHISM,,,"Raw: ""Buddhism"" (unspecified)",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0023,Dhyānabhadra,Buddhism (Chan/Seon transmission),SEON_CHAN,,,"Raw: ""Buddhism (Chan/Seon transmission)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0024,Naong Hyegeun,Buddhism (Seon),SEON_CHAN,,,"Raw: ""Buddhism (Seon)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0028,Yi Nŭng-hwa,None (studied all religions comparatively),NON_BUDDHIST,,,"Raw: ""None (studied all religions comparatively)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Scholar of religions incl. Buddhism; not a Buddhist practitioner per record
P-0029,Ch'oe Nam-sŏn,None (wrote on Buddhism as national culture),NON_BUDDHIST,,,"Raw: ""None (wrote on Buddhism as national culture)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Wrote on Buddhism as national culture; not a practitioner per record
P-0030,Rabindranath Tagore,Brahmoism-influenced Hindu humanist universalism,NON_BUDDHIST,,,"Raw: ""Brahmoism-influenced Hindu humanist universalism""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Hindu/Brahmo
P-0034,Han Yong-un,Buddhism (Seon; colonial-era reform),SEON_CHAN,,,"Raw: ""Buddhism (Seon; colonial-era reform)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0038,Mohandas Karamchand Gandhi,Hindu (Vaishnava with Jain influences); secularist in politics,NON_BUDDHIST,,,"Raw: ""Hindu (Vaishnava with Jain influences); secularist in politics""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Hindu
P-0051,Ko Un,Buddhism (ordained monk 1952-1962),SEON_CHAN,,,"Raw: ""Buddhism (ordained monk 1952-1962)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Ordained 1952-1962; later left monastic life
P-0052,Pŏpchŏng,Buddhism (Korean Seon; Songgwangsa lineage),SEON_CHAN,,,"Raw: ""Buddhism (Korean Seon; Songgwangsa lineage)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0053,Lokesh Chandra,Buddhist-heritage scholarship (Buddhism specialist),LAY_BUDDHIST,,,"Raw: ""Buddhist-heritage scholarship (Buddhism specialist)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,"Scholar, not monk"
P-0054,Jung Seung-suk,NULL,UNKNOWN,,,Raw: NULL,HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,No affiliation recorded
P-0055,U Myeong-ju,Buddhism (lay scholar),LAY_BUDDHIST,,,"Raw: ""Buddhism (lay scholar)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0062,Buddhavara (Ven.),Buddhism (Korean Jogye Order; Theravada-oriented early-Buddhist meditation),SEON_CHAN,THERAVADA_ORIENTED,,"Raw: ""Buddhism (Korean Jogye Order; Theravada-oriented early-Buddhist meditation)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Multi-affiliation: Jogye Seon + Theravada-oriented meditation
P-0063,Hyoseok (Ven.),Buddhism (Jogye Order bhikkhuni),SEON_CHAN,,,"Raw: ""Buddhism (Jogye Order bhikkhuni)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0064,Wookwan (Ven.),Buddhism (Jogye Order bhikkhuni; trained at Bongnyeongsa),SEON_CHAN,,,"Raw: ""Buddhism (Jogye Order bhikkhuni; trained at Bongnyeongsa)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0065,Gakseong (Ven.),Buddhism (Jogye Order),SEON_CHAN,,,"Raw: ""Buddhism (Jogye Order)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0068,Sŏ Chŏng-ju,Buddhism (studied at Gaewunsa; Dongguk Buddhist college),LAY_BUDDHIST,,,"Raw: ""Buddhism (studied at Gaewunsa; Dongguk Buddhist college)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Poet; studied Buddhism; not ordained
P-0071,Vinoba Bhave,Hindu (Gandhian),NON_BUDDHIST,,,"Raw: ""Hindu (Gandhian)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Hindu
P-0072,Yi Yŏng-jae,Buddhism (ordained 1918 at Beopjusa; studied under Nampa and Paek Ch'owŏl sunims),SEON_CHAN,,,"Raw: ""Buddhism (ordained 1918 at Beopjusa; studied under Nampa and Paek Ch'owŏl sunims)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0073,Hwang Su-yŏng,Buddhist scholar (lay),LAY_BUDDHIST,,,"Raw: ""Buddhist scholar (lay)""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0074,Muhak Chach'o,Seon Buddhist monk,SEON_CHAN,,,"Raw: ""Seon Buddhist monk""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0075,Baegun Gyeonghan,Seon Buddhist monk,SEON_CHAN,,,"Raw: ""Seon Buddhist monk""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0076,Sitanshu Yashaschandra,Hindu,NON_BUDDHIST,,,"Raw: ""Hindu""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0077,Ch'ukwŏn Chijŏn,Seon Buddhist monk,SEON_CHAN,,,"Raw: ""Seon Buddhist monk""",HIGH,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
