edge_id,source_node,source_label,target_node,target_label,source_type,target_type,connection_type,semantic_family,semantic_meaning,direction,historical_band,confidence,evidence_source_ids,legendary,underlying_record_id,evidence,evidence_authorization,audit_status
E-0011,P-0023,Dhyānabhadra,P-0077,Ch'ukwŏn Chijŏn,PEOPLE,PEOPLE,PERSON_ENCOUNTER,PERSON_RELATIONSHIP,Explicit MET_IN_PERSON or TEACHER_STUDENT relationship; preserved as an undirected encounter edge.,UNDIRECTED,B2,MEDIUM,,0,R-0022,Per tradition (Jahyeon 2017 monograph; Hyunbul 2017-01-26; Atlas News 2025-12-31): Ch'ukwŏn was one of Jikong's representative disciples,person_person R-0022: TEACHER_STUDENT — Per tradition (Jahyeon 2017 monograph; Hyunbul 2017-01-26; Atlas News 2025-12-31): Ch'ukwŏn was one of Jikong's representative disciples,SUPPORTED
E-0012,P-0001,Hyecho,TX-0001,Wang ocheonchukguk jeon,PEOPLE,TEXTS,TEXTUAL_TRANSMISSION,TEXT_LINK,Explicit AUTHOR/TRANSLATOR person_text link or explicit TRANSLATOR_OF relationship.,PERSON_TO_TEXT,B1,HIGH,,0,L-0101,,person_text L-0101: AUTHOR — explicit person/text link,SUPPORTED
E-0013,P-0003,Wŏnhyo,TX-0002,Haedong-so commentaries,PEOPLE,TEXTS,TEXTUAL_TRANSMISSION,TEXT_LINK,Explicit AUTHOR/TRANSLATOR person_text link or explicit TRANSLATOR_OF relationship.,PERSON_TO_TEXT,B1,HIGH,,0,L-0102,,person_text L-0102: AUTHOR — explicit person/text link,SUPPORTED
E-0014,P-0009,Iryŏn,TX-0003,Samguk Yusa,PEOPLE,TEXTS,TEXTUAL_TRANSMISSION,TEXT_LINK,Explicit AUTHOR/TRANSLATOR person_text link or explicit TRANSLATOR_OF relationship.,PERSON_TO_TEXT,B2,HIGH,,0,L-0103,,person_text L-0103: AUTHOR — explicit person/text link,SUPPORTED
E-0015,P-0028,Yi Nŭng-hwa,TX-0007,Chosŏn Pulgyo T'ongsa,PEOPLE,TEXTS,TEXTUAL_TRANSMISSION,TEXT_LINK,Explicit AUTHOR/TRANSLATOR person_text link or explicit TRANSLATOR_OF relationship.,PERSON_TO_TEXT,B4,HIGH,,0,L-0107,,person_text L-0107: AUTHOR — explicit person/text link,SUPPORTED
E-0016,P-0030,Rabindranath Tagore,TX-0010,The Lamp of the East (1929 message),PEOPLE,TEXTS,TEXTUAL_TRANSMISSION,TEXT_LINK,Explicit AUTHOR/TRANSLATOR person_text link or explicit TRANSLATOR_OF relationship.,PERSON_TO_TEXT,B4,HIGH,,0,L-0110,,person_text L-0110: AUTHOR — explicit person/text link,SUPPORTED
E-0017,P-0034,Han Yong-un,TX-0012,Nim-ŭi Ch'immuk,PEOPLE,TEXTS,TEXTUAL_TRANSMISSION,TEXT_LINK,Explicit AUTHOR/TRANSLATOR person_text link or explicit TRANSLATOR_OF relationship.,PERSON_TO_TEXT,B4,HIGH,,0,L-0112,,person_text L-0112: AUTHOR — explicit person/text link,SUPPORTED
E-0018,P-0029,Ch'oe Nam-sŏn,TX-0016,Chosŏn Pulgyo,PEOPLE,TEXTS,TEXTUAL_TRANSMISSION,TEXT_LINK,Explicit AUTHOR/TRANSLATOR person_text link or explicit TRANSLATOR_OF relationship.,PERSON_TO_TEXT,B4,HIGH,,0,L-0116,,person_text L-0116: AUTHOR — explicit person/text link,SUPPORTED
E-0019,P-0052,Pŏpchŏng,TX-0018,Muso-yu,PEOPLE,TEXTS,TEXTUAL_TRANSMISSION,TEXT_LINK,Explicit AUTHOR/TRANSLATOR person_text link or explicit TRANSLATOR_OF relationship.,PERSON_TO_TEXT,B5,HIGH,,0,L-0118,,person_text L-0118: AUTHOR — explicit person/text link,SUPPORTED
E-0020,P-0064,Wookwan (Ven.),TX-0019,Wookwan's Korean Temple Food,PEOPLE,TEXTS,TEXTUAL_TRANSMISSION,TEXT_LINK,Explicit AUTHOR/TRANSLATOR person_text link or explicit TRANSLATOR_OF relationship.,PERSON_TO_TEXT,B6,HIGH,,0,L-0119,,person_text L-0119: AUTHOR — explicit person/text link,SUPPORTED
E-0021,P-0053,Lokesh Chandra,TX-0020,Morning Calm and The Pensive Beyond,PEOPLE,TEXTS,TEXTUAL_TRANSMISSION,TEXT_LINK,Explicit AUTHOR/TRANSLATOR person_text link or explicit TRANSLATOR_OF relationship.,PERSON_TO_TEXT,B6,HIGH,,0,L-0120,,person_text L-0120: AUTHOR — explicit person/text link,SUPPORTED
E-0022,P-0005,T'aehyŏn,TX-0029,Seong yusik non hakki,PEOPLE,TEXTS,TEXTUAL_TRANSMISSION,TEXT_LINK,Explicit AUTHOR/TRANSLATOR person_text link or explicit TRANSLATOR_OF relationship.,PERSON_TO_TEXT,B1,HIGH,,0,L-0131,,person_text L-0131: AUTHOR — explicit person/text link,SUPPORTED
E-0023,P-0013,Ariyabalma,I-0002,Nalanda Mahavihara,PEOPLE,INSTITUTIONS,INSTITUTIONAL,PERSON_INSTITUTION_MAPPING,Explicit normalized person–institution mapping from institution_mapping.csv; the frozen source field does not always distinguish affiliation from education/founding.,PERSON_TO_INSTITUTION,B1,HIGH,,0,MAP-P-0013-I-0002,Nalanda Mahavihara,institution_mapping MAP-P-0013-I-0002: normalized mapped_institution_ids — Nalanda Mahavihara,SUPPORTED
E-0024,P-0014,Hyeeop,I-0002,Nalanda Mahavihara,PEOPLE,INSTITUTIONS,INSTITUTIONAL,PERSON_INSTITUTION_MAPPING,Explicit normalized person–institution mapping from institution_mapping.csv; the frozen source field does not always distinguish affiliation from education/founding.,PERSON_TO_INSTITUTION,B1,MEDIUM,,0,MAP-P-0014-I-0002,"Nalanda mapped; ""Bodhi temple (Bodhgaya)"" not in institutions.csv","institution_mapping MAP-P-0014-I-0002: normalized mapped_institution_ids — Nalanda mapped; ""Bodhi temple (Bodhgaya)"" not in institutions.csv",SUPPORTED
E-0025,P-0023,Dhyānabhadra,I-0002,Nalanda Mahavihara,PEOPLE,INSTITUTIONS,INSTITUTIONAL,PERSON_INSTITUTION_MAPPING,Explicit normalized person–institution mapping from institution_mapping.csv; the frozen source field does not always distinguish affiliation from education/founding.,PERSON_TO_INSTITUTION,B1,HIGH,,0,MAP-P-0023-I-0002,Ordained at Nalanda; founded Hoeamsa 1328,institution_mapping MAP-P-0023-I-0002: normalized mapped_institution_ids — Ordained at Nalanda; founded Hoeamsa 1328,SUPPORTED
E-0026,P-0023,Dhyānabhadra,I-0003,Hoeamsa,PEOPLE,INSTITUTIONS,INSTITUTIONAL,PERSON_INSTITUTION_MAPPING,Explicit normalized person–institution mapping from institution_mapping.csv; the frozen source field does not always distinguish affiliation from education/founding.,PERSON_TO_INSTITUTION,B2,HIGH,,0,MAP-P-0023-I-0003,Ordained at Nalanda; founded Hoeamsa 1328,institution_mapping MAP-P-0023-I-0003: normalized mapped_institution_ids — Ordained at Nalanda; founded Hoeamsa 1328,SUPPORTED
E-0027,P-0052,Pŏpchŏng,I-0020,Songgwangsa lineage,PEOPLE,INSTITUTIONS,INSTITUTIONAL,PERSON_INSTITUTION_MAPPING,Explicit normalized person–institution mapping from institution_mapping.csv; the frozen source field does not always distinguish affiliation from education/founding.,PERSON_TO_INSTITUTION,B5,HIGH,,0,MAP-P-0052-I-0020,Songgwangsa lineage,institution_mapping MAP-P-0052-I-0020: normalized mapped_institution_ids — Songgwangsa lineage,SUPPORTED
E-0028,P-0054,Jung Seung-suk,I-0010,Dongguk University,PEOPLE,INSTITUTIONS,INSTITUTIONAL,PERSON_INSTITUTION_MAPPING,Explicit normalized person–institution mapping from institution_mapping.csv; the frozen source field does not always distinguish affiliation from education/founding.,PERSON_TO_INSTITUTION,B6,HIGH,,0,MAP-P-0054-I-0010,"Dongguk University (MA 1980, PhD 1991)","institution_mapping MAP-P-0054-I-0010: normalized mapped_institution_ids — Dongguk University (MA 1980, PhD 1991)",SUPPORTED
E-0029,P-0055,U Myeong-ju,I-0010,Dongguk University,PEOPLE,INSTITUTIONS,INSTITUTIONAL,PERSON_INSTITUTION_MAPPING,Explicit normalized person–institution mapping from institution_mapping.csv; the frozen source field does not always distinguish affiliation from education/founding.,PERSON_TO_INSTITUTION,B6,HIGH,,0,MAP-P-0055-I-0010,Dongguk University Gyeongju campus -> I-0010 (note: campus),institution_mapping MAP-P-0055-I-0010: normalized mapped_institution_ids — Dongguk University Gyeongju campus -> I-0010 (note: campus),SUPPORTED
E-0030,P-0062,Buddhavara (Ven.),I-0015,Bunhwangsa India,PEOPLE,INSTITUTIONS,INSTITUTIONAL,PERSON_INSTITUTION_MAPPING,Explicit normalized person–institution mapping from institution_mapping.csv; the frozen source field does not always distinguish affiliation from education/founding.,PERSON_TO_INSTITUTION,B6,HIGH,,0,MAP-P-0062-I-0015,Bunhwangsa India; Bodh Gaya International College of Buddhist Studies,institution_mapping MAP-P-0062-I-0015: normalized mapped_institution_ids — Bunhwangsa India; Bodh Gaya International College of Buddhist Studies,SUPPORTED
E-0031,P-0062,Buddhavara (Ven.),I-0014,Bodh Gaya International College of Buddhist Studies,PEOPLE,INSTITUTIONS,INSTITUTIONAL,PERSON_INSTITUTION_MAPPING,Explicit normalized person–institution mapping from institution_mapping.csv; the frozen source field does not always distinguish affiliation from education/founding.,PERSON_TO_INSTITUTION,B6,HIGH,,0,MAP-P-0062-I-0014,Bunhwangsa India; Bodh Gaya International College of Buddhist Studies,institution_mapping MAP-P-0062-I-0014: normalized mapped_institution_ids — Bunhwangsa India; Bodh Gaya International College of Buddhist Studies,SUPPORTED
E-0032,P-0063,Hyoseok (Ven.),I-0021,Bongnyeongsa,PEOPLE,INSTITUTIONS,INSTITUTIONAL,PERSON_INSTITUTION_MAPPING,Explicit normalized person–institution mapping from institution_mapping.csv; the frozen source field does not always distinguish affiliation from education/founding.,PERSON_TO_INSTITUTION,B6,MEDIUM,,0,MAP-P-0063-I-0021,"Bongnyeongsa mapped; ""Seoul Beopryongsa bhikkhuni hall"" not in institutions.csv","institution_mapping MAP-P-0063-I-0021: normalized mapped_institution_ids — Bongnyeongsa mapped; ""Seoul Beopryongsa bhikkhuni hall"" not in institutions.csv",SUPPORTED
E-0033,P-0064,Wookwan (Ven.),I-0016,Mahayeon Temple Food Culture Center,PEOPLE,INSTITUTIONS,INSTITUTIONAL,PERSON_INSTITUTION_MAPPING,Explicit normalized person–institution mapping from institution_mapping.csv; the frozen source field does not always distinguish affiliation from education/founding.,PERSON_TO_INSTITUTION,B6,MEDIUM,,0,MAP-P-0064-I-0016,"Mahayeon Temple Food Culture Center mapped; ""Bongwonsa"" not in institutions.csv","institution_mapping MAP-P-0064-I-0016: normalized mapped_institution_ids — Mahayeon Temple Food Culture Center mapped; ""Bongwonsa"" not in institutions.csv",SUPPORTED
E-0034,P-0068,Sŏ Chŏng-ju,I-0010,Dongguk University,PEOPLE,INSTITUTIONS,INSTITUTIONAL,PERSON_INSTITUTION_MAPPING,Explicit normalized person–institution mapping from institution_mapping.csv; the frozen source field does not always distinguish affiliation from education/founding.,PERSON_TO_INSTITUTION,B6,HIGH,,0,MAP-P-0068-I-0010,Dongguk University (professor),institution_mapping MAP-P-0068-I-0010: normalized mapped_institution_ids — Dongguk University (professor),SUPPORTED
E-0035,P-0073,Hwang Su-yŏng,I-0010,Dongguk University,PEOPLE,INSTITUTIONS,INSTITUTIONAL,PERSON_INSTITUTION_MAPPING,Explicit normalized person–institution mapping from institution_mapping.csv; the frozen source field does not always distinguish affiliation from education/founding.,PERSON_TO_INSTITUTION,B6,HIGH,,0,MAP-P-0073-I-0010,Dongguk University,institution_mapping MAP-P-0073-I-0010: normalized mapped_institution_ids — Dongguk University,SUPPORTED
E-0036,P-0074,Muhak Chach'o,I-0003,Hoeamsa,PEOPLE,INSTITUTIONS,INSTITUTIONAL,PERSON_INSTITUTION_MAPPING,Explicit normalized person–institution mapping from institution_mapping.csv; the frozen source field does not always distinguish affiliation from education/founding.,PERSON_TO_INSTITUTION,B2,HIGH,,0,MAP-P-0074-I-0003,Hoeamsa,institution_mapping MAP-P-0074-I-0003: normalized mapped_institution_ids — Hoeamsa,SUPPORTED
E-0037,I-0022,Jogye Order of Korean Buddhism,EV-0001,Sangwol/Jogye walking pilgrimage India-Nepal,INSTITUTIONS,EVENTS,INSTITUTIONAL,INSTITUTION_EVENT_ORGANIZER,Explicit institution listed in events.csv organizer_institution_ids for the event.,INSTITUTION_TO_EVENT,B6,HIGH,S-0147;S-0108;S-0080;S-0156,0,EV-0001-I-0022,S-0147;S-0108;S-0080;S-0156,events.csv EV-0001-I-0022: organizer_institution_ids — Sangwol/Jogye walking pilgrimage India-Nepal,SUPPORTED
E-0038,I-0023,Sangwol Society,EV-0001,Sangwol/Jogye walking pilgrimage India-Nepal,INSTITUTIONS,EVENTS,INSTITUTIONAL,INSTITUTION_EVENT_ORGANIZER,Explicit institution listed in events.csv organizer_institution_ids for the event.,INSTITUTION_TO_EVENT,B6,HIGH,S-0147;S-0108;S-0080;S-0156,0,EV-0001-I-0023,S-0147;S-0108;S-0080;S-0156,events.csv EV-0001-I-0023: organizer_institution_ids — Sangwol/Jogye walking pilgrimage India-Nepal,SUPPORTED
E-0039,I-0026,International Buddhist Confederation (IBC),EV-0002,Bexpo 2026 Buddhist exchange (IBC - Jogye lay),INSTITUTIONS,EVENTS,INSTITUTIONAL,INSTITUTION_EVENT_ORGANIZER,Explicit institution listed in events.csv organizer_institution_ids for the event.,INSTITUTION_TO_EVENT,B6,HIGH,S-0109;S-0145,0,EV-0002-I-0026,S-0109;S-0145,events.csv EV-0002-I-0026: organizer_institution_ids — Bexpo 2026 Buddhist exchange (IBC - Jogye lay),SUPPORTED
E-0040,I-0026,International Buddhist Confederation (IBC),EV-0003,2nd Global Buddhist Summit,INSTITUTIONS,EVENTS,INSTITUTIONAL,INSTITUTION_EVENT_ORGANIZER,Explicit institution listed in events.csv organizer_institution_ids for the event.,INSTITUTION_TO_EVENT,B6,HIGH,S-0158;S-0022;S-0069;S-0029,0,EV-0003-I-0026,S-0158;S-0022;S-0069;S-0029,events.csv EV-0003-I-0026: organizer_institution_ids — 2nd Global Buddhist Summit,SUPPORTED
E-0041,I-0024,Jungto Society,EV-0004,Jungto Society annual India pilgrimage program,INSTITUTIONS,EVENTS,INSTITUTIONAL,INSTITUTION_EVENT_ORGANIZER,Explicit institution listed in events.csv organizer_institution_ids for the event.,INSTITUTION_TO_EVENT,B6,HIGH,S-0087,0,EV-0004-I-0024,S-0087,events.csv EV-0004-I-0024: organizer_institution_ids — Jungto Society annual India pilgrimage program,SUPPORTED
E-0042,I-0012,University of Delhi,EV-0005,Delhi University - BGICBS academic MOU,INSTITUTIONS,EVENTS,INSTITUTIONAL,INSTITUTION_EVENT_ORGANIZER,Explicit institution listed in events.csv organizer_institution_ids for the event.,INSTITUTION_TO_EVENT,B6,HIGH,S-0018,0,EV-0005-I-0012,S-0018,events.csv EV-0005-I-0012: organizer_institution_ids — Delhi University - BGICBS academic MOU,SUPPORTED
E-0043,I-0014,Bodh Gaya International College of Buddhist Studies,EV-0005,Delhi University - BGICBS academic MOU,INSTITUTIONS,EVENTS,INSTITUTIONAL,INSTITUTION_EVENT_ORGANIZER,Explicit institution listed in events.csv organizer_institution_ids for the event.,INSTITUTION_TO_EVENT,B6,HIGH,S-0018,0,EV-0005-I-0014,S-0018,events.csv EV-0005-I-0014: organizer_institution_ids — Delhi University - BGICBS academic MOU,SUPPORTED
E-0044,I-0022,Jogye Order of Korean Buddhism,EV-0006,Jogye delegation pilgrimage Sarnath -> Bodh Gaya,INSTITUTIONS,EVENTS,INSTITUTIONAL,INSTITUTION_EVENT_ORGANIZER,Explicit institution listed in events.csv organizer_institution_ids for the event.,INSTITUTION_TO_EVENT,B6,HIGH,S-0011,0,EV-0006-I-0022,S-0011,events.csv EV-0006-I-0022: organizer_institution_ids — Jogye delegation pilgrimage Sarnath -> Bodh Gaya,SUPPORTED
E-0045,I-0022,Jogye Order of Korean Buddhism,EV-0007,Jogye pilgrimage to the 8 great sites + Nepal,INSTITUTIONS,EVENTS,INSTITUTIONAL,INSTITUTION_EVENT_ORGANIZER,Explicit institution listed in events.csv organizer_institution_ids for the event.,INSTITUTION_TO_EVENT,B6,HIGH,S-0085,0,EV-0007-I-0022,S-0085,events.csv EV-0007-I-0022: organizer_institution_ids — Jogye pilgrimage to the 8 great sites + Nepal,SUPPORTED
E-0046,I-0015,Bunhwangsa India,EV-0008,Bunhwangsa India groundbreaking,INSTITUTIONS,EVENTS,INSTITUTIONAL,INSTITUTION_EVENT_ORGANIZER,Explicit institution listed in events.csv organizer_institution_ids for the event.,INSTITUTION_TO_EVENT,B6,HIGH,S-0071,0,EV-0008-I-0015,S-0071,events.csv EV-0008-I-0015: organizer_institution_ids — Bunhwangsa India groundbreaking,SUPPORTED
E-0047,I-0015,Bunhwangsa India,EV-0009,Bunhwangsa India dedication (대웅보전 준공식),INSTITUTIONS,EVENTS,INSTITUTIONAL,INSTITUTION_EVENT_ORGANIZER,Explicit institution listed in events.csv organizer_institution_ids for the event.,INSTITUTION_TO_EVENT,B6,HIGH,S-0065;S-0021;S-0115,0,EV-0009-I-0015,S-0065;S-0021;S-0115,events.csv EV-0009-I-0015: organizer_institution_ids — Bunhwangsa India dedication (대웅보전 준공식),SUPPORTED
E-0048,I-0022,Jogye Order of Korean Buddhism,EV-0009,Bunhwangsa India dedication (대웅보전 준공식),INSTITUTIONS,EVENTS,INSTITUTIONAL,INSTITUTION_EVENT_ORGANIZER,Explicit institution listed in events.csv organizer_institution_ids for the event.,INSTITUTION_TO_EVENT,B6,HIGH,S-0065;S-0021;S-0115,0,EV-0009-I-0022,S-0065;S-0021;S-0115,events.csv EV-0009-I-0022: organizer_institution_ids — Bunhwangsa India dedication (대웅보전 준공식),SUPPORTED
E-0049,I-0026,International Buddhist Confederation (IBC),EV-0010,Global Buddhist Summit 2023,INSTITUTIONS,EVENTS,INSTITUTIONAL,INSTITUTION_EVENT_ORGANIZER,Explicit institution listed in events.csv organizer_institution_ids for the event.,INSTITUTION_TO_EVENT,B6,HIGH,S-0066;S-0068;S-0033,0,EV-0010-I-0026,S-0066;S-0068;S-0033,events.csv EV-0010-I-0026: organizer_institution_ids — Global Buddhist Summit 2023,SUPPORTED
E-0050,I-0026,International Buddhist Confederation (IBC),EV-0011,ICYBS 2025 (3rd Int'l Conf. of Young Buddhist Scholars),INSTITUTIONS,EVENTS,INSTITUTIONAL,INSTITUTION_EVENT_ORGANIZER,Explicit institution listed in events.csv organizer_institution_ids for the event.,INSTITUTION_TO_EVENT,B6,HIGH,S-0070;S-0146;S-0028,0,EV-0011-I-0026,S-0070;S-0146;S-0028,events.csv EV-0011-I-0026: organizer_institution_ids — ICYBS 2025 (3rd Int'l Conf. of Young Buddhist Scholars),SUPPORTED
E-0051,I-0027,Korea Buddhism Promotion Foundation,EV-0012,KBPF 2026 India pilgrimage (Dharamsala/Ajanta-Ellora/Sanchi),INSTITUTIONS,EVENTS,INSTITUTIONAL,INSTITUTION_EVENT_ORGANIZER,Explicit institution listed in events.csv organizer_institution_ids for the event.,INSTITUTION_TO_EVENT,B6,HIGH,S-0090,0,EV-0012-I-0027,S-0090,events.csv EV-0012-I-0027: organizer_institution_ids — KBPF 2026 India pilgrimage (Dharamsala/Ajanta-Ellora/Sanchi),SUPPORTED
E-0052,I-0028,Buddhist Broadcasting System,EV-0013,BBS Seon Meditation Tour 4 India-Nepal,INSTITUTIONS,EVENTS,INSTITUTIONAL,INSTITUTION_EVENT_ORGANIZER,Explicit institution listed in events.csv organizer_institution_ids for the event.,INSTITUTION_TO_EVENT,B6,HIGH,S-0010,0,EV-0013-I-0028,S-0010,events.csv EV-0013-I-0028: organizer_institution_ids — BBS Seon Meditation Tour 4 India-Nepal,SUPPORTED
E-0053,I-0022,Jogye Order of Korean Buddhism,EV-0014,Korea-India 50th anniversary cultural exchange (Jogye + ROK Embassy),INSTITUTIONS,EVENTS,INSTITUTIONAL,INSTITUTION_EVENT_ORGANIZER,Explicit institution listed in events.csv organizer_institution_ids for the event.,INSTITUTION_TO_EVENT,B6,HIGH,S-0074,0,EV-0014-I-0022,S-0074,events.csv EV-0014-I-0022: organizer_institution_ids — Korea-India 50th anniversary cultural exchange (Jogye + ROK Embassy),SUPPORTED
E-0054,I-0030,International Buddhist Problems Research Institute,EV-0015,Korean Buddhist delegation to India (국제불교문제연구소),INSTITUTIONS,EVENTS,INSTITUTIONAL,INSTITUTION_EVENT_ORGANIZER,Explicit institution listed in events.csv organizer_institution_ids for the event.,INSTITUTION_TO_EVENT,B5,HIGH,S-0030;S-0062,0,EV-0015-I-0030,S-0030;S-0062,events.csv EV-0015-I-0030: organizer_institution_ids — Korean Buddhist delegation to India (국제불교문제연구소),SUPPORTED
E-0055,I-0010,Dongguk University,EV-0016,Dongguk University - Nalanda University MOU,INSTITUTIONS,EVENTS,INSTITUTIONAL,INSTITUTION_EVENT_ORGANIZER,Explicit institution listed in events.csv organizer_institution_ids for the event.,INSTITUTION_TO_EVENT,B6,HIGH,S-0062,0,EV-0016-I-0010,S-0062,events.csv EV-0016-I-0010: organizer_institution_ids — Dongguk University - Nalanda University MOU,SUPPORTED
E-0056,I-0031,Nalanda University,EV-0016,Dongguk University - Nalanda University MOU,INSTITUTIONS,EVENTS,INSTITUTIONAL,INSTITUTION_EVENT_ORGANIZER,Explicit institution listed in events.csv organizer_institution_ids for the event.,INSTITUTION_TO_EVENT,B6,HIGH,S-0062,0,EV-0016-I-0031,S-0062,events.csv EV-0016-I-0031: organizer_institution_ids — Dongguk University - Nalanda University MOU,SUPPORTED
E-0057,I-0003,Hoeamsa,EV-0017,Enshrinement of Dhyānabhadra's relics at Hoeamsa,INSTITUTIONS,EVENTS,INSTITUTIONAL,INSTITUTION_EVENT_ORGANIZER,Explicit institution listed in events.csv organizer_institution_ids for the event.,INSTITUTION_TO_EVENT,B2,HIGH,S-0020;S-0064,0,EV-0017-I-0003,S-0020;S-0064,events.csv EV-0017-I-0003: organizer_institution_ids — Enshrinement of Dhyānabhadra's relics at Hoeamsa,SUPPORTED
E-0058,I-0003,Hoeamsa,EV-0018,Return of Hoeamsa relics (Jikong/Naong + Buddha relics) from Boston MFA,INSTITUTIONS,EVENTS,INSTITUTIONAL,INSTITUTION_EVENT_ORGANIZER,Explicit institution listed in events.csv organizer_institution_ids for the event.,INSTITUTION_TO_EVENT,B6,HIGH,S-0059;S-0073,0,EV-0018-I-0003,S-0059;S-0073,events.csv EV-0018-I-0003: organizer_institution_ids — Return of Hoeamsa relics (Jikong/Naong + Buddha relics) from Boston MFA,SUPPORTED
